Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2012-12-31,26.59,26.77,26.37,26.7097,42749500.0,0.0,1.0,23.29222185991,23.449897675434,23.09950697427,23.397076277234,42749500.0
2012-12-28,26.71,26.9,26.55,26.55,28239900.0,0.0,1.0,23.39733907026,23.563774653313,23.257182789794,23.257182789794,28239900.0
2012-12-27,26.89,27.09,26.57,26.96,39394000.0,0.0,1.0,23.555014885784,23.730210236366,23.274702324852,23.616333258488,39394000.0
2012-12-26,27.03,27.2,26.7,26.86,31631100.0,0.0,1.0,23.677651631191,23.826567679186,23.388579302731,23.528735583196,31631100.0
2012-12-24,27.2,27.25,27.0,27.06,20842400.0,0.0,1.0,23.826567679186,23.870366516832,23.651372328604,23.703930933779,20842400.0
2012-12-21,27.45,27.49,27.0,27.45,98776500.0,0.0,1.0,24.045561867414,24.080600937531,23.651372328604,24.045561867414,98776500.0
2012-12-20,27.36,27.68,27.15,27.68,52607300.0,0.0,1.0,23.966723959652,24.247036520584,23.782768841541,24.247036520584,52607300.0
2012-12-19,27.69,27.73,27.25,27.31,53519900.0,0.0,1.0,24.255796288113,24.290835358229,23.870366516832,23.922925122007,53519900.0
2012-12-18,27.25,27.63,27.14,27.56,50486900.0,0.0,1.0,23.870366516832,24.203237682938,23.774009074012,24.141919310234,50486900.0
2012-12-17,26.79,27.215,26.68,27.095,42046100.0,0.0,1.0,23.467417210493,23.83970733048,23.371059767672,23.734590120131,42046100.0
2012-12-14,27.11,27.13,26.7,26.81,42077500.0,0.0,1.0,23.747729771424,23.765249306483,23.388579302731,23.484936745551,42077500.0
2012-12-13,27.32,27.52,26.95,27.11,45080100.0,0.0,1.0,23.931684889536,24.106880240118,23.607573490958,23.747729771424,45080100.0
2012-12-12,27.53,27.62,27.08,27.24,43966300.0,0.0,1.0,24.115640007647,24.194477915409,23.721450468837,23.861606749303,43966300.0
2012-12-11,27.05,27.49,27.05,27.32,52282800.0,0.0,1.0,23.69517116625,24.080600937531,23.69517116625,23.931684889536,52282800.0
2012-12-10,26.56,26.97,26.52,26.94,47031100.0,0.0,1.0,23.265942557323,23.625093026017,23.230903487207,23.598813723429,47031100.0
2012-12-07,26.82,26.82,26.37,26.455,46162100.0,0.0,1.0,23.49369651308,23.49369651308,23.09950697427,23.173964998267,46162100.0
2012-12-06,26.81,26.98,26.61,26.725,39182300.0,0.0,1.0,23.484936745551,23.633852793546,23.309741394969,23.410478721553,39182300.0
2012-12-05,26.38,26.93,26.26,26.67,68283800.0,0.0,1.0,23.108266741799,23.5900539559,23.00314953145,23.362300000143,68283800.0
2012-12-04,26.5,26.63,26.34,26.37,49777500.0,0.0,1.0,23.213383952148,23.327260930027,23.073227671683,23.09950697427,49777500.0
2012-12-03,26.78,26.82,26.4,26.4294,53173800.0,0.0,1.0,23.458657442964,23.49369651308,23.125786276857,23.151539993393,53173800.0
2012-11-30,27.05,27.13,26.49,26.615,83690200.0,0.0,1.0,23.69517116625,23.765249306483,23.204624184619,23.314121278733,83690200.0
2012-11-29,27.11,27.36,26.86,26.95,69551400.0,0.0,1.0,23.747729771424,23.966723959652,23.528735583196,23.607573490958,69551400.0
2012-11-28,27.01,27.39,26.77,27.36,53018400.0,0.0,1.0,23.660132096133,23.993003262239,23.449897675434,23.966723959652,53018400.0
2012-11-27,27.3599,27.38,27.0424,27.08,45018600.0,0.0,1.0,23.966636361977,23.98424349471,23.688513742927,23.721450468837,45018600.0
2012-11-26,27.54,27.58,27.17,27.385,85198700.0,0.0,1.0,24.124399775176,24.159438845293,23.800288376599,23.988623378475,85198700.0
2012-11-23,27.23,27.77,27.2,27.7,57845700.0,0.0,1.0,23.852846981774,24.325874428346,23.826567679186,24.264556055642,57845700.0
2012-11-21,26.71,27.1666,26.67,26.95,66360300.0,0.0,1.0,23.39733907026,23.797310055639,23.362300000143,23.607573490958,66360300.0
2012-11-20,26.76,26.8,26.46,26.71,47070400.0,0.0,1.0,23.441137907905,23.476176978022,23.178344882032,23.39733907026,47070400.0
2012-11-19,26.8,26.8,26.47,26.7277,57179300.0,0.0,1.0,23.476176978022,23.476176978022,23.187104649561,23.412843858786,57179300.0
2012-11-16,26.67,26.7,26.3449,26.5209,64083300.0,0.0,1.0,23.362300000143,23.388579302731,23.077519957772,23.231691866284,64083300.0
2012-11-15,26.88,26.97,26.63,26.6607,50955600.0,0.0,1.0,23.546255118255,23.625093026017,23.327260930027,23.354153416341,50955600.0
2012-11-14,27.24,27.29,26.8,26.84,76086100.0,0.0,1.0,23.861606749303,23.905405586948,23.476176978022,23.511216048138,76086100.0
2012-11-13,27.02,27.3,26.75,27.0895,131689200.0,0.23,1.0,23.668891863662,23.914165354477,23.432378140376,23.72977224799,131689200.0
2012-11-12,28.94,29.01,28.21,28.22,61112300.0,0.0,1.0,25.137341783591,25.198143923358,24.503262326023,24.51194834599,61112300.0
2012-11-09,28.88,29.19,28.805,28.83,43291200.0,0.0,1.0,25.085225663791,25.354492282758,25.020080514041,25.041795563958,43291200.0
2012-11-08,29.12,29.37,28.8,28.81,49841800.0,0.0,1.0,25.293690142992,25.510840642159,25.015737504058,25.024423524024,49841800.0
2012-11-07,29.53,29.825,29.05,29.08,57871800.0,0.0,1.0,25.649816961626,25.906054550643,25.232888003225,25.258946063125,57871800.0
2012-11-06,29.82,30.2,29.61,29.86,43401500.0,0.0,1.0,25.90171154066,26.231780299394,25.719305121359,25.936455620526,43401500.0
2012-11-05,29.62,29.74,29.33,29.63,38070800.0,0.0,1.0,25.727991141326,25.832223380926,25.476096562292,25.736677161293,38070800.0
2012-11-02,29.59,29.77,29.33,29.4998,57131600.0,0.0,1.0,25.701933081426,25.858281440826,25.476096562292,25.623585181326,57131600.0
