Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-12-29,43.94,45.81,43.0,43.38,49988800.0,0.0,1.0,14.625236080752,15.247657370488,14.312361207837,14.438842539441,99977600.0
2000-12-28,45.13,46.25,43.88,44.56,38809600.0,0.0,1.0,15.021322356039,15.394109438661,14.605265344183,14.831600358633,77619200.0
2000-12-27,46.13,46.81,45.0,46.44,34501900.0,0.0,1.0,15.354167965523,15.580502979973,14.978052426806,15.457350104464,69003800.0
2000-12-26,46.88,48.56,45.88,46.88,33470800.0,0.0,1.0,15.603802172637,16.162982796571,15.270956563152,15.603802172637,66941600.0
2000-12-22,44.75,47.13,44.75,46.44,54775900.0,0.0,1.0,14.894841024435,15.687013575008,14.894841024435,15.457350104464,109551800.0
2000-12-21,40.75,45.13,40.31,43.44,81586500.0,0.0,1.0,13.563458586496,15.021322356039,13.417006518323,14.45881327601,163173000.0
2000-12-20,42.81,44.0,41.38,41.5,74518900.0,0.0,1.0,14.249120542035,14.645206817321,13.773151320472,13.81309279361,149037800.0
2000-12-19,47.44,48.0,44.5,44.81,60135900.0,0.0,1.0,15.790195713948,15.976589255259,14.811629622063,14.914811761004,120271800.0
2000-12-18,49.0,50.0,47.0,47.81,53593700.0,0.0,1.0,16.309434864744,16.642280474229,15.643743645775,15.913348589457,107187400.0
2000-12-15,51.05,52.0,47.75,49.19,58449900.0,0.0,1.0,16.991768364187,17.307971693198,15.893377852888,16.372675530546,116899800.0
2000-12-14,57.94,58.73,55.38,55.5,35600700.0,0.0,1.0,19.285074613536,19.548022645029,18.432989853256,18.472931326394,71201400.0
2000-12-13,60.5,60.5,56.81,57.25,49180200.0,0.0,1.0,20.137159373817,20.137159373817,18.908959074819,19.055411142992,98360400.0
2000-12-12,57.81,60.0,56.75,58.38,31553000.0,0.0,1.0,19.241804684303,19.970736569074,18.888988338249,19.431526681709,63106000.0
2000-12-11,55.5,58.75,55.0,58.06,47788100.0,0.0,1.0,18.472931326394,19.554679557219,18.306508521651,19.325016086674,95576200.0
2000-12-08,54.63,55.88,53.44,54.44,60469900.0,0.0,1.0,18.183355646142,18.599412657998,17.787269370856,18.12011498034,120939800.0
2000-12-07,53.44,54.0,52.25,53.13,72654200.0,0.0,1.0,17.787269370856,17.973662912167,17.391183095569,17.684087231915,145308400.0
2000-12-06,60.0,60.06,56.06,56.69,45280400.0,0.0,1.0,19.970736569074,19.990707305643,18.659324867705,18.86901760168,90560800.0
2000-12-05,59.19,60.5,58.25,59.88,50867200.0,0.0,1.0,19.701131625392,20.137159373817,19.388256752476,19.930795095936,101734400.0
2000-12-04,57.25,59.0,55.19,56.44,40203600.0,0.0,1.0,19.055411142992,19.63789095959,18.369749187454,18.785806199309,80407200.0
2000-12-01,58.06,60.63,56.06,56.63,54904900.0,0.0,1.0,19.325016086674,20.18042930305,18.659324867705,18.849046865111,109809800.0
2000-11-30,62.0,62.06,57.0,57.38,98600400.0,0.0,1.0,20.636427788043,20.656398524613,18.972199740621,19.098681072225,197200800.0
2000-11-29,66.81,67.12,63.25,65.06,49140200.0,0.0,1.0,22.237415169664,22.340597308605,21.052484799899,21.654935353066,98280400.0
2000-11-28,69.37,69.75,66.81,67.0,63723100.0,0.0,1.0,23.089499929945,23.215981261549,22.237415169664,22.300655835466,127446200.0
2000-11-27,71.44,72.25,70.62,70.69,42653800.0,0.0,1.0,23.778490341578,24.04809528526,23.505556941801,23.528856134464,85307600.0
2000-11-24,69.0,70.44,68.5,69.94,17219600.0,0.0,1.0,22.966347054436,23.445644732093,22.799924249693,23.279221927351,34439200.0
