Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-12-31,46.73,47.44,46.45,46.45,21552450.0,0.0,1.0,43.316503696581,43.974640174745,43.056956916461,43.056956916461,21552450.0
2014-12-30,47.44,47.62,46.84,47.02,16384692.0,0.0,1.0,43.974640174745,44.141491676251,43.418468503057,43.585320004564,16384692.0
2014-12-29,47.7,47.78,47.26,47.45,14439518.0,0.0,1.0,44.215647899143,44.289804122034,43.807788673239,43.983909702606,14439518.0
2014-12-26,48.41,48.41,47.82,47.88,13197817.0,0.0,1.0,44.873784377306,44.873784377306,44.32688223348,44.382499400649,13197817.0
2014-12-24,48.64,48.64,48.08,48.14,11442790.0,0.0,1.0,45.086983518119,45.086983518119,44.567889957878,44.623507125047,11442790.0
2014-12-23,48.37,48.8,48.13,48.45,23656529.0,0.0,1.0,44.83670626586,45.235295963903,44.614237597185,44.910862488752,23656529.0
2014-12-22,47.78,48.12,47.71,47.98,26565984.0,0.0,1.0,44.289804122034,44.604968069324,44.224917427004,44.475194679263,26565984.0
2014-12-19,47.63,48.1,47.17,47.66,64551182.0,0.0,1.0,44.150761204112,44.586429013601,43.724362922486,44.178569787697,64551182.0
2014-12-18,46.58,47.52,46.3386,47.52,40105550.0,0.0,1.0,43.17746077866,44.048796397636,42.953694376084,44.048796397636,40105550.0
2014-12-17,45.05,45.945,44.9,45.74,34970865.0,0.0,1.0,41.759223015857,42.588845759457,41.620180097935,42.398820438297,34970865.0
2014-12-16,45.9,46.34,45.13,45.16,47801392.0,0.0,1.0,42.547132884081,42.954992109985,41.833379238749,41.861187822333,47801392.0
2014-12-15,47.2,47.67,46.55,46.67,29247761.0,0.0,1.0,43.75217150607,44.187839315558,43.149652195075,43.260886529413,29247761.0
2014-12-12,46.78,47.73,46.67,46.95,34248371.0,0.0,1.0,43.362851335889,44.243456482727,43.260886529413,43.520433309533,34248371.0
2014-12-11,47.08,47.74,46.68,47.17,29061918.0,0.0,1.0,43.640937171732,44.252726010588,43.270156057274,43.724362922486,29061918.0
2014-12-10,47.58,47.66,46.7001,46.9,30431788.0,0.0,1.0,44.104413564805,44.178569787697,43.288787808276,43.474085670226,30431788.0
2014-12-09,47.11,47.92,47.05,47.59,24330506.0,0.0,1.0,43.668745755317,44.419577512095,43.613128588148,44.113683092667,24330506.0
2014-12-08,48.26,48.35,47.445,47.695,26663107.0,0.0,1.0,44.734741459384,44.818167210137,43.979274938676,44.211013135212,26663107.0
2014-12-05,48.82,48.97,48.38,48.42,27313449.0,0.0,1.0,45.253835019626,45.392877937547,44.845975793722,44.883053905167,27313449.0
2014-12-04,48.39,49.06,48.2,48.84,30345132.0,0.0,1.0,44.855245321583,45.476303688301,44.679124292215,45.272374075349,30345132.0
2014-12-03,48.44,48.5,47.805,48.08,23534752.0,0.0,1.0,44.90159296089,44.957210128059,44.312977941688,44.567889957878,23534752.0
2014-12-02,48.84,49.05,48.2,48.46,25773478.0,0.0,1.0,45.272374075349,45.467034160439,44.679124292215,44.920132016613,25773478.0
2014-12-01,47.88,48.78,47.71,48.62,31191575.0,0.0,1.0,44.382499400649,45.21675690818,44.224917427004,45.068444462397,31191575.0
2014-11-28,47.95,48.195,47.61,47.81,21534426.0,0.0,1.0,44.447386095679,44.674489528285,44.13222214839,44.317612705619,21534426.0
2014-11-26,47.49,47.99,47.28,47.75,27164877.0,0.0,1.0,44.020987814052,44.484464207125,43.826327728962,44.26199553845,27164877.0
2014-11-25,47.66,47.97,47.45,47.47,28007993.0,0.0,1.0,44.178569787697,44.465925151402,43.983909702606,44.002448758329,28007993.0
2014-11-24,47.99,48.0,47.39,47.59,35434245.0,0.0,1.0,44.484464207125,44.493733734986,43.928292535438,44.113683092667,35434245.0
2014-11-21,49.02,49.05,47.57,47.98,42884795.0,0.0,1.0,45.439225576855,45.467034160439,44.095144036944,44.475194679263,42884795.0
