Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-12-30,24.28,24.35,24.13,24.13,1047300.0,0.0,1.0,19.045449940251,19.10035856858,18.927788593833,18.927788593833,1047300.0
2011-12-29,24.05,24.37,23.93,24.35,1310700.0,0.0,1.0,18.865035875743,19.116046748102,18.770906798608,19.10035856858,1310700.0
2011-12-28,24.02,24.16,23.735,24.07,1761500.0,0.0,1.0,18.841503606459,18.951320863117,18.617947048265,18.880724055266,1761500.0
2011-12-27,23.87,24.0,23.58,23.92,1227300.0,0.0,1.0,18.723842260041,18.825815426937,18.496363656966,18.763062708847,1227300.0
2011-12-23,23.89,24.0186,23.74,23.92,1529100.0,0.0,1.0,18.739530439564,18.840405433893,18.621869093145,18.763062708847,1529100.0
2011-12-22,23.65,24.075,23.545,23.79,1828700.0,0.0,1.0,18.551272285294,18.884646100146,18.468909342801,18.661089541951,1828700.0
2011-12-21,23.48,23.6796,23.22,23.54,1410400.0,0.0,1.0,18.417922759353,18.574490790987,18.213976425562,18.464987297921,1410400.0
2011-12-20,23.07,23.52,23.06,23.47,1777400.0,0.0,1.0,18.096315079143,18.449299118398,18.088470989382,18.410078669592,1777400.0
2011-12-19,23.46,23.49,22.64,22.67,2025800.0,0.0,1.0,18.402234579831,18.425766849115,17.759019219411,17.782551488694,2025800.0
2011-12-16,23.82,23.92,23.18,23.34,2654700.0,0.0,1.0,18.684621811235,18.763062708847,18.182600066517,18.308105502696,2654700.0
2011-12-15,23.67,24.01,23.63,23.7,3382300.0,0.0,1.0,18.566960464817,18.833659516698,18.535584105772,18.5904927341,3382300.0
2011-12-14,23.96,24.025,23.41,23.49,3358000.0,0.0,1.0,18.794439067892,18.84542565134,18.363014131025,18.425766849115,3358000.0
2011-12-13,24.59,24.64,23.97,24.07,4247700.0,0.0,1.0,19.288616722849,19.327837171655,18.802283157653,18.880724055266,4247700.0
2011-12-12,24.09,24.75,23.83,24.71,4189700.0,0.0,1.0,18.896412234788,19.414122159029,18.692465900996,19.382745799984,4189700.0
