Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2008-12-31,22.07,22.37,21.46,21.66,2675000.0,0.0,1.0,17.311906103021,17.547228795857,16.833416627586,16.990298422811,2675000.0
2008-12-30,21.96,22.49,21.69,22.14,1634600.0,0.0,1.0,17.225621115647,17.641357872992,17.013830692094,17.366814731349,1634600.0
2008-12-29,23.19,23.19,21.48,21.95,2101300.0,0.0,1.0,18.190444156278,18.190444156278,16.849104807109,17.217777025886,2101300.0
2008-12-26,23.43,23.43,22.7422,23.14,659900.0,0.0,1.0,18.378702310547,18.378702310547,17.83918581677,18.151223707472,659900.0
2008-12-24,21.97,23.39,21.97,23.31,762300.0,0.0,1.0,17.233465205409,18.347325951502,17.233465205409,18.284573233413,762300.0
2008-12-23,23.54,23.55,21.97,22.18,1794900.0,0.0,1.0,18.464987297921,18.472831387682,17.233465205409,17.398191090394,1794900.0
2008-12-22,24.85,24.85,22.42,23.14,2106800.0,0.0,1.0,19.492563056641,19.492563056641,17.586449244664,18.151223707472,2106800.0
2008-12-19,25.08,25.18,24.1,24.6,2475900.0,0.0,1.0,19.672977121149,19.751418018761,18.904256324549,19.29646081261,2475900.0
2008-12-18,25.77,26.05,23.84,24.39,3238400.0,0.0,1.0,20.214219314674,20.433853827988,18.700309990757,19.131734927625,3238400.0
2008-12-17,25.05,26.51,24.58,25.67,3336600.0,0.0,1.0,19.649444851865,20.794681957004,19.280772633088,20.135778417061,3336600.0
2008-12-16,23.5,25.9,23.46,25.69,3337200.0,0.0,1.0,18.433610938876,20.316192481569,18.402234579831,20.151466596584,3337200.0
2008-12-15,24.19,24.67,22.54,23.12,2288100.0,0.0,1.0,18.9748531324,19.351369440939,17.680578321798,18.135535527949,2288100.0
2008-12-12,22.12,24.48,22.12,24.13,2938200.0,0.0,1.0,17.351126551827,19.202331735476,17.351126551827,18.927788593833,2938200.0
2008-12-11,23.88,24.74,22.54,22.84,3203700.0,0.0,1.0,18.731686349802,19.406278069268,17.680578321798,17.915901014635,3203700.0
2008-12-10,22.76,24.3,21.97,24.09,4422800.0,0.0,1.0,17.853148296545,19.061138119774,17.233465205409,18.896412234788,4422800.0
2008-12-09,24.4,25.0,22.85,23.23,5210200.0,0.0,1.0,19.139579017386,19.610224403059,17.923745104396,18.221820515323,5210200.0
2008-12-08,22.38,25.1,21.77,25.0,4878900.0,0.0,1.0,17.555072885619,19.688665300672,17.076583410184,19.610224403059,4878900.0
2008-12-05,20.16,21.64,19.03,21.27,4049100.0,0.0,1.0,15.813684958627,16.974610243288,14.927302815609,16.684378922123,4049100.0
2008-12-04,18.46,21.21,18.01,20.18,3559700.0,0.0,1.0,14.480189699219,16.637314383556,14.127205659964,15.829373138149,3559700.0
2008-12-03,18.5,19.75,18.1,18.85,4272000.0,0.0,1.0,14.511566058264,15.492077278417,14.197802467815,14.786109199907,4272000.0
2008-12-02,19.61,19.95,18.55,19.01,3342500.0,0.0,1.0,15.38226002176,15.648959073641,14.55078650707,14.911614636086,3342500.0
2008-12-01,21.65,21.65,19.1,19.35,4010300.0,0.0,1.0,16.982454333049,16.982454333049,14.982211443937,15.178313687968,4010300.0
2008-11-28,22.0,22.5,21.31,21.85,873100.0,0.0,1.0,17.256997474692,17.649201962753,16.715755281168,17.139336128274,873100.0
2008-11-26,20.26,22.16,19.81,22.0,3784400.0,0.0,1.0,15.892125856239,17.382502910872,15.539141816984,17.256997474692,3784400.0
2008-11-25,20.61,21.65,19.82,20.67,3414100.0,0.0,1.0,16.166668997882,16.982454333049,15.546985906745,16.213733536449,3414100.0
2008-11-24,18.33,20.56,17.75,20.21,4358900.0,0.0,1.0,14.378216532323,16.127448549076,13.923259326172,15.852905407433,4358900.0
2008-11-21,18.67,18.67,16.97,17.98,5970600.0,0.0,1.0,14.644915584205,14.644915584205,13.311420324797,14.10367339068,5970600.0
2008-11-20,19.12,19.99,16.91,17.5,8516500.0,0.0,1.0,14.99789962346,15.680335432686,13.264355786229,13.727157082142,8516500.0
2008-11-19,22.1,22.47,20.31,20.56,3524000.0,0.0,1.0,17.335438372304,17.62566969347,15.931346305045,16.127448549076,3524000.0
2008-11-18,22.74,23.29,21.47,22.21,2749000.0,0.0,1.0,17.837460117023,18.26888505389,16.841260717347,17.421723359678,2749000.0
2008-11-17,23.26,24.25,22.7,22.75,2699300.0,0.0,1.0,18.245352784606,19.021917670968,17.806083757978,17.845304206784,2699300.0
2008-11-14,24.34,26.13,23.28,23.28,4434300.0,0.0,1.0,19.092514478819,20.496606546078,18.261040964129,18.261040964129,4434300.0
2008-11-13,21.81,24.9,21.2,24.83,2974800.0,0.0,1.0,17.107959769229,19.531783505447,16.629470293794,19.476874877119,2974800.0
2008-11-12,21.93,22.32,21.16,22.04,3005900.0,0.0,1.0,17.202088846364,17.508008347051,16.598093934749,17.288373833737,3005900.0
2008-11-11,24.13,24.34,23.1,23.41,1815400.0,0.0,1.0,18.927788593833,19.092514478819,18.119847348427,18.363014131025,1815400.0
2008-11-10,25.73,26.46,24.06,24.48,1652900.0,0.0,1.0,20.182842955629,20.755461508198,18.872879965504,19.202331735476,1652900.0
2008-11-07,24.06,25.29,23.96,25.1,2931200.0,0.0,1.0,18.872879965504,19.837703006135,18.794439067892,19.688665300672,2931200.0
2008-11-06,25.05,25.48,23.53,23.81,3117800.0,0.0,1.0,19.649444851865,19.986740711598,18.457143208159,18.676777721474,3117800.0
2008-11-05,27.35,27.35,25.18,25.28,2306400.0,0.0,1.0,21.453585496947,21.453585496947,19.751418018761,19.829858916374,2306400.0
2008-11-04,27.51,28.0,27.17,27.75,2673700.0,0.0,1.0,21.579090933126,21.963451331426,21.312391881245,21.767349087396,2673700.0
2008-11-03,27.78,27.78,26.53,26.97,3228300.0,0.0,1.0,21.79088135668,21.79088135668,20.810370136527,21.15551008602,3228300.0
2008-10-31,27.84,28.9,26.515,27.39,4549700.0,0.0,1.0,21.837945895247,22.669419409937,20.798604001885,21.484961855992,4549700.0
2008-10-30,30.46,31.47,29.29,29.43,2234300.0,0.0,1.0,23.893097412687,24.685350478571,22.975338910624,23.085156167281,2234300.0
2008-10-29,28.48,31.3,27.7,29.43,3074200.0,0.0,1.0,22.339967639965,24.55200095263,21.72812863859,23.085156167281,3074200.0
2008-10-28,25.97,28.91,24.51,28.91,2603300.0,0.0,1.0,20.371101109898,22.677263499698,19.225864004759,22.677263499698,2603300.0
2008-10-27,25.29,26.68,25.0,25.21,1837700.0,0.0,1.0,19.837703006135,20.928031482945,19.610224403059,19.774950288045,1837700.0
2008-10-24,24.28,26.44,24.09,25.73,2526900.0,0.0,1.0,19.045449940251,20.739773328676,18.896412234788,20.182842955629,2526900.0
2008-10-23,27.99,28.69,25.21,27.07,3425500.0,0.0,1.0,21.955607241665,22.504693524951,19.774950288045,21.233950983633,3425500.0
2008-10-22,30.37,30.41,26.86,28.23,2785900.0,0.0,1.0,23.822500604836,23.853876963881,21.069225098647,22.143865395935,2785900.0
2008-10-21,33.2,33.52,30.22,30.46,2883800.0,0.0,1.0,26.042378007263,26.293388879622,23.704839258418,23.893097412687,2883800.0
2008-10-20,32.22,33.95,31.44,33.19,2295700.0,0.0,1.0,25.273657210663,26.630684739355,24.661818209287,26.034533917502,2295700.0
2008-10-17,30.08,33.04,29.89,31.84,3751900.0,0.0,1.0,23.595022001761,25.916872571083,23.445984296298,24.975581799736,3751900.0
2008-10-16,28.33,31.25,27.22,30.81,4876200.0,0.0,1.0,22.222306293547,24.512780503824,21.351612330051,24.16764055433,4876200.0
2008-10-15,30.16,30.17,27.7,27.73,2614300.0,0.0,1.0,23.657774719851,23.665618809612,21.72812863859,21.751660907873,2614300.0
2008-10-14,34.99,36.84,29.48,30.36,4348100.0,0.0,1.0,27.446470074522,28.897626680348,23.124376616088,23.814656515075,4348100.0
2008-10-13,31.61,33.58,30.37,33.52,2973200.0,0.0,1.0,24.795167735228,26.340453418189,23.822500604836,26.293388879622,2973200.0
2008-10-10,26.98,30.17,26.39,29.1,4266900.0,0.0,1.0,21.163354175782,23.665618809612,20.700552879869,22.826301205161,4266900.0
2008-10-09,30.57,31.94,28.82,29.09,3094400.0,0.0,1.0,23.979382400061,25.054022697349,22.606666691847,22.8184571154,3094400.0
2008-10-08,29.57,31.27,29.28,30.21,6024200.0,0.0,1.0,23.194973423939,24.528468683347,22.967494820863,23.696995168657,6024200.0
2008-10-07,34.01,34.9,30.71,30.75,3789900.0,0.0,1.0,26.677749277922,27.375873266671,24.089199656718,24.120576015763,3789900.0
2008-10-06,33.9,34.49,31.25,34.11,4195400.0,0.0,1.0,26.591464290548,27.054265586461,24.512780503824,26.756190175534,4195400.0
2008-10-03,36.45,38.42,34.98,35.28,4095400.0,0.0,1.0,28.591707179661,30.136992862622,27.438625984761,27.673948677597,4095400.0
2008-10-02,36.0,36.25,34.99,35.81,3666400.0,0.0,1.0,28.238723140405,28.434825384436,27.446470074522,28.089685434942,3666400.0
2008-10-01,33.87,36.24,33.87,36.04,3617100.0,0.0,1.0,26.567932021265,28.426981294675,26.567932021265,28.27009949945,3617100.0
2008-09-30,34.94,35.0,33.68,34.21,2708100.0,0.0,1.0,27.407249625716,27.454314164283,26.418894315802,26.834631073146,2708100.0
2008-09-29,36.38,36.64,32.8,34.2,4342000.0,0.0,1.0,28.536798551332,28.740744885124,25.728614416814,26.826786983385,4342000.0
2008-09-26,35.25,36.25,34.9,36.16,1875600.0,0.0,1.0,27.650416408314,28.434825384436,27.375873266671,28.364228576585,1875600.0
2008-09-25,35.03,37.0,34.775,36.04,3211200.0,0.0,1.0,27.477846433567,29.023132116528,27.277822144656,28.27009949945,3211200.0
2008-09-24,35.03,35.03,33.29,34.6,4609100.0,0.0,1.0,27.477846433567,27.477846433567,26.112974815114,27.140550573834,4609100.0
2008-09-23,36.49,36.87,34.52,34.94,3489300.0,0.0,1.0,28.623083538705,28.921158949632,27.077797855744,27.407249625716,3489300.0
2008-09-22,37.93,37.93,36.08,36.28,3003100.0,0.0,1.0,29.752632464322,29.752632464322,28.301475858495,28.45835765372,3003100.0
2008-09-19,40.61,41.61,37.0,37.7,5820700.0,0.0,1.0,31.85484852033,32.639257496452,29.023132116528,29.572218399813,5820700.0
2008-09-18,38.21,38.98,35.02,38.49,6436400.0,0.0,1.0,29.972266977636,30.57626188925,27.470002343806,30.19190149095,6436400.0
2008-09-17,39.53,39.98,37.45,37.6,4964200.0,0.0,1.0,31.007686826117,31.360670865372,29.376116155783,29.493777502201,4964200.0
2008-09-16,38.02,40.63,37.64,40.08,3547600.0,0.0,1.0,29.823229272173,31.870536699852,29.525153861246,31.439111762985,3547600.0
2008-09-15,39.31,41.66,38.25,38.9,4202500.0,0.0,1.0,30.835116851371,32.678477945258,30.003643336681,30.51350917116,4202500.0
2008-09-12,42.08,42.08,40.41,41.21,3308000.0,0.0,1.0,33.007929715229,33.007929715229,31.697966725105,32.325493906003,3308000.0
2008-09-11,42.05,42.9,41.53,42.7,2379800.0,0.0,1.0,32.984397445946,33.65114507565,32.576504778362,33.494263280425,2379800.0
2008-09-10,43.55,44.25,42.38,42.76,2449200.0,0.0,1.0,34.161010910129,34.710097193415,33.243252408066,33.541327818993,2449200.0
2008-09-09,44.54,45.19,43.06,43.55,2833500.0,0.0,1.0,34.937575796491,35.44744163097,33.776650511829,34.161010910129,2833500.0
2008-09-08,44.27,46.36,43.2,44.28,3645700.0,0.0,1.0,34.725785372937,36.365200133033,33.886467768487,34.733629462699,3645700.0
2008-09-05,43.51,44.1,42.38,43.63,2661000.0,0.0,1.0,34.129634551084,34.592435846997,33.243252408066,34.223763628219,2661000.0
2008-09-04,43.5,44.56,43.23,43.93,2981900.0,0.0,1.0,34.121790461323,34.953263976013,33.91000003777,34.459086321056,2981900.0
2008-09-03,45.46,45.5,43.64,43.9,2268500.0,0.0,1.0,35.659232054523,35.690608413568,34.23160771798,34.435554051772,2268500.0
2008-09-02,44.34,46.23,44.34,45.38,3786500.0,0.0,1.0,34.780694001266,36.263226966137,34.780694001266,35.596479336433,3786500.0
