Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-12-29,14.69,15.0,14.5,14.88,11256000.0,0.0,1.0,0.94393487204333,0.96385453237917,0.93172604796653,0.95614369612013,157584000.0
2000-12-28,14.38,14.94,14.31,14.81,5449600.0,0.0,1.0,0.9240152117075,0.95999911424965,0.91951722388973,0.95164570830237,76294400.0
2000-12-27,14.34,14.81,14.19,14.81,5811900.0,0.0,1.0,0.92144493295448,0.95164570830237,0.91180638763069,0.95164570830237,81366600.0
2000-12-26,14.88,15.0,14.25,14.69,3871700.0,0.0,1.0,0.95614369612013,0.96385453237917,0.91566180576021,0.94393487204333,54203800.0
2000-12-22,14.13,15.0,14.13,15.0,5679500.0,0.0,1.0,0.90795096950118,0.96385453237917,0.90795096950118,0.96385453237917,79513000.0
2000-12-21,14.25,15.0,13.88,14.06,6550800.0,0.0,1.0,0.91566180576021,0.96385453237917,0.89188672729486,0.90345298168341,91711200.0
2000-12-20,13.78,14.63,13.63,14.38,10095200.0,0.0,1.0,0.88546103041233,0.94007945391382,0.87582248508854,0.9240152117075,141332800.0
2000-12-19,14.38,15.25,14.0,14.0,6678700.0,0.0,1.0,0.9240152117075,0.97991877458549,0.89959756355389,0.89959756355389,93501800.0
2000-12-18,14.56,14.63,13.94,14.25,5818000.0,0.0,1.0,0.93558146609605,0.94007945391382,0.89574214542437,0.91566180576021,81452000.0
2000-12-15,14.56,14.69,14.0,14.06,9177600.0,0.0,1.0,0.93558146609605,0.94393487204333,0.89959756355389,0.90345298168341,128486400.0
2000-12-14,15.03,15.25,14.44,14.44,4702100.0,0.0,1.0,0.96578224144393,0.97991877458549,0.92787062983701,0.92787062983701,65829400.0
2000-12-13,15.56,15.56,14.88,15.0,6158700.0,0.0,1.0,0.99983843492132,0.99983843492132,0.95614369612013,0.96385453237917,86221800.0
2000-12-12,15.25,16.0,15.0,15.38,6897500.0,0.0,1.0,0.97991877458549,1.0281115012044,0.96385453237917,0.98827218053277,96565000.0
2000-12-11,15.19,15.38,14.88,15.19,5937700.0,0.0,1.0,0.97606335645597,0.98827218053277,0.95614369612013,0.97606335645597,83127800.0
2000-12-08,14.81,15.31,14.44,15.06,7779000.0,0.0,1.0,0.95164570830237,0.983774192715,0.92787062983701,0.96770995050868,108906000.0
2000-12-07,14.44,14.88,14.0,14.31,7302100.0,0.0,1.0,0.92787062983701,0.95614369612013,0.89959756355389,0.91951722388973,102229400.0
2000-12-06,14.63,15.0,14.0,14.31,24544000.0,0.0,1.0,0.94007945391382,0.96385453237917,0.89959756355389,0.91951722388973,343616000.0
2000-12-05,16.94,17.44,16.37,17.0,10963900.0,0.0,1.0,1.0885130519002,1.1206415363128,1.0518865796698,1.0923684700297,153494600.0
2000-12-04,17.19,17.19,16.44,16.69,6634300.0,0.0,1.0,1.1045772941065,1.1045772941065,1.0563845674876,1.0724488096939,92880200.0
2000-12-01,17.0,17.5,16.81,17.06,6887600.0,0.0,1.0,1.0923684700297,1.1244969544424,1.0801596459529,1.0962238881592,96426400.0
2000-11-30,16.69,17.0,16.12,16.5,14457100.0,0.0,1.0,1.0724488096939,1.0923684700297,1.0358223374635,1.0602399856171,202399400.0
2000-11-29,18.09,18.31,17.25,17.56,8788400.0,0.0,1.0,1.1624085660493,1.1765450991908,1.108432712236,1.1283523725719,123037600.0
2000-11-28,18.69,19.0,17.94,18.03,4805800.0,0.0,1.0,1.2009627473444,1.2208824076803,1.1527700207255,1.1585531479198,67281200.0
2000-11-27,19.87,19.94,18.5,18.69,4621300.0,0.0,1.0,1.2767859705583,1.281283958376,1.1887539232676,1.2009627473444,64698200.0
2000-11-24,18.86,19.5,18.81,19.31,2873800.0,0.0,1.0,1.2118864320447,1.2530108920929,1.2086735836035,1.2408020680161,40233200.0
2000-11-22,18.81,19.12,18.37,18.5,5009500.0,0.0,1.0,1.2086735836035,1.2285932439393,1.1804005173204,1.1887539232676,70133000.0
